      1024 ,        8 ,    13.1633 ,  82.52
      1024 ,       32 ,    12.7847 ,  83.20
      1024 ,       64 ,    11.4163 ,  84.67
      1024 ,      128 ,    10.6489 ,  82.42
      1024 ,      256 ,    10.9702 ,  84.67
      4096 ,        8 ,    50.2552 ,  83.28
      4096 ,       32 ,    51.0978 ,  84.11
      4096 ,       64 ,    50.5330 ,  84.45
      4096 ,      128 ,    51.1386 ,  83.76
      4096 ,      256 ,    54.6541 ,  83.69
     16384 ,        8 ,   156.2405 ,  83.58
     16384 ,       32 ,   164.6832 ,  84.27
     16384 ,       64 ,   203.6595 ,  83.46
     16384 ,      128 ,   152.6081 ,  83.40
     16384 ,      256 ,   168.7541 ,  83.65
     65536 ,        8 ,   508.4409 ,  84.02
     65536 ,       32 ,   665.5834 ,  83.67
     65536 ,       64 ,   681.5308 ,  84.00
     65536 ,      128 ,   772.2474 ,  83.76
     65536 ,      256 ,   623.0605 ,  83.89
    262144 ,        8 ,   834.3858 ,  83.83
    262144 ,       32 ,  1816.0053 ,  83.72
    262144 ,       64 ,  2159.7680 ,  83.81
    262144 ,      128 ,  2519.8400 ,  83.67
    262144 ,      256 ,  2504.4329 ,  83.96
   1048576 ,        8 ,  1147.2988 ,  83.76
   1048576 ,       32 ,  2699.3986 ,  83.80
   1048576 ,       64 ,  4520.9714 ,  83.80
   1048576 ,      128 ,  5549.1956 ,  83.81
   1048576 ,      256 ,  5494.2993 ,  83.83
   2097152 ,        8 ,  1204.5509 ,  83.84
   2097152 ,       32 ,  3748.5558 ,  83.78
   2097152 ,       64 ,  5419.7817 ,  83.75
   2097152 ,      128 ,  6498.3641 ,  83.80
   2097152 ,      256 ,  6678.4874 ,  83.84
